x_nm,y_nm,phi_V
2.812500,10.781250,4.20197817e-01
2.812500,11.250000,4.20976029e-01
2.812500,11.718750,4.21613952e-01
2.812500,12.187500,4.22128585e-01
2.812500,12.656250,4.22535497e-01
2.812500,13.125000,4.22848469e-01
2.812500,13.593750,4.23079211e-01
2.812500,14.062500,4.23237116e-01
2.812500,14.531250,4.23329062e-01
2.812500,15.000000,4.23359240e-01
2.812500,15.468750,4.23329062e-01
2.812500,15.937500,4.23237116e-01
2.812500,16.406250,4.23079211e-01
2.812500,16.875000,4.22848469e-01
2.812500,17.343750,4.22535497e-01
2.812500,17.812500,4.22128585e-01
2.812500,18.281250,4.21613952e-01
2.812500,18.750000,4.20976029e-01
2.812500,19.218750,4.20197817e-01
2.812500,19.687500,4.19261404e-01
2.812500,20.156250,4.18148813e-01
2.812500,20.625000,4.16843512e-01
2.812500,21.093750,4.15333212e-01
2.812500,21.562500,4.13615089e-01
2.812500,22.031250,4.11705613e-01
2.812500,22.500000,4.09659049e-01
2.812500,22.968750,4.07602589e-01
2.812500,23.437500,4.05803445e-01
2.812500,23.906250,4.04799866e-01
2.812500,24.375000,4.05650853e-01
2.812500,24.843750,4.10482058e-01
2.812500,25.312500,4.23209276e-01
2.812500,25.781250,4.43974528e-01
2.812500,26.250000,4.50643350e-01
2.812500,26.718750,4.51056982e-01
2.812500,27.187500,4.51028186e-01
2.812500,27.656250,4.51282818e-01
2.812500,28.125000,4.51220215e-01
2.812500,28.593750,4.51163559e-01
2.812500,29.062500,4.52293213e-01
2.812500,29.531250,4.53327577e-01
2.812500,30.000000,4.55833619e-01
3.281250,0.000000,4.56144950e-01
3.281250,0.468750,4.54442679e-01
3.281250,0.937500,4.52804772e-01
3.281250,1.406250,4.52151850e-01
3.281250,1.875000,4.51560454e-01
3.281250,2.343750,4.51812396e-01
3.281250,2.812500,4.51907181e-01
3.281250,3.281250,4.52120939e-01
3.281250,3.750000,4.51131700e-01
3.281250,4.218750,4.49130676e-01
3.281250,4.687500,4.30978467e-01
3.281250,5.156250,4.13199518e-01
3.281250,5.625000,4.06841712e-01
3.281250,6.093750,4.05355742e-01
3.281250,6.562500,4.06096772e-01
3.281250,7.031250,4.07771093e-01
3.281250,7.500000,4.09754148e-01
3.281250,7.968750,4.11744041e-01
3.281250,8.437500,4.13600429e-01
3.281250,8.906250,4.15264492e-01
3.281250,9.375000,4.16718699e-01
3.281250,9.843750,4.17966179e-01
3.281250,10.312500,4.19020055e-01
3.281250,10.781250,4.19897899e-01
3.281250,11.250000,4.20618828e-01
3.281250,11.718750,4.21201965e-01
3.281250,12.187500,4.21665568e-01
3.281250,12.656250,4.22026483e-01
3.281250,13.125000,4.22299743e-01
3.281250,13.593750,4.22498215e-01
3.281250,14.062500,4.22632289e-01
3.281250,14.531250,4.22709611e-01
3.281250,15.000000,4.22734860e-01
3.281250,15.468750,4.22709611e-01
3.281250,15.937500,4.22632289e-01
3.281250,16.406250,4.22498215e-01
3.281250,16.875000,4.22299743e-01
3.281250,17.343750,4.22026483e-01
3.281250,17.812500,4.21665568e-01
3.281250,18.281250,4.21201965e-01
3.281250,18.750000,4.20618828e-01
3.281250,19.218750,4.19897899e-01
3.281250,19.687500,4.19020055e-01
3.281250,20.156250,4.17966179e-01
3.281250,20.625000,4.16718699e-01
3.281250,21.093750,4.15264492e-01
3.281250,21.562500,4.13600429e-01
3.281250,22.031250,4.11744041e-01
3.281250,22.500000,4.09754148e-01
3.281250,22.968750,4.07771093e-01
3.281250,23.437500,4.06096772e-01
3.281250,23.906250,4.05355742e-01
3.281250,24.375000,4.06841712e-01
3.281250,24.843750,4.13199518e-01
3.281250,25.312500,4.30978467e-01
3.281250,25.781250,4.49130676e-01
3.281250,26.250000,4.51131700e-01
3.281250,26.718750,4.52120939e-01
3.281250,27.187500,4.51907181e-01
3.281250,27.656250,4.51812396e-01
3.281250,28.125000,4.51560454e-01
3.281250,28.593750,4.52151850e-01
3.281250,29.062500,4.52804772e-01
3.281250,29.531250,4.54442679e-01
3.281250,30.000000,4.56144950e-01
3.750000,0.000000,4.56975871e-01
3.750000,0.468750,4.55120582e-01
3.750000,0.937500,4.53346461e-01
3.750000,1.406250,4.52828782e-01
3.750000,1.875000,4.52065639e-01
3.750000,2.343750,4.51904912e-01
3.750000,2.812500,4.52192955e-01
3.750000,3.281250,4.51954663e-01
3.750000,3.750000,4.51167170e-01
3.750000,4.218750,4.47509810e-01
3.750000,4.687500,4.34002412e-01
3.750000,5.156250,4.14531038e-01
3.750000,5.625000,4.07509976e-01
3.750000,6.093750,4.05778188e-01
3.750000,6.562500,4.06392646e-01
3.750000,7.031250,4.07985250e-01
3.750000,7.500000,4.09899184e-01
3.750000,7.968750,4.11822008e-01
3.750000,8.437500,4.13609934e-01
3.750000,8.906250,4.15203492e-01
3.750000,9.375000,4.16585498e-01
3.750000,9.843750,4.17759798e-01
3.750000,10.312500,4.18740393e-01
3.750000,10.781250,4.19545860e-01
3.750000,11.250000,4.20196458e-01
3.750000,11.718750,4.20712593e-01
3.750000,12.187500,4.21113930e-01
3.750000,12.656250,4.21418797e-01
3.750000,13.125000,4.21643706e-01
3.750000,13.593750,4.21802909e-01
3.750000,14.062500,4.21907998e-01
3.750000,14.531250,4.21967539e-01
3.750000,15.000000,4.21986795e-01
3.750000,15.468750,4.21967539e-01
3.750000,15.937500,4.21907998e-01
3.750000,16.406250,4.21802909e-01
3.750000,16.875000,4.21643706e-01
3.750000,17.343750,4.21418797e-01
3.750000,17.812500,4.21113930e-01
3.750000,18.281250,4.20712593e-01
3.750000,18.750000,4.20196458e-01
3.750000,19.218750,4.19545860e-01
3.750000,19.687500,4.18740393e-01
3.750000,20.156250,4.17759798e-01
3.750000,20.625000,4.16585498e-01
3.750000,21.093750,4.15203492e-01
3.750000,21.562500,4.13609934e-01
3.750000,22.031250,4.11822008e-01
3.750000,22.500000,4.09899184e-01
3.750000,22.968750,4.07985250e-01
3.750000,23.437500,4.06392646e-01
3.750000,23.906250,4.05778188e-01
3.750000,24.375000,4.07509976e-01
3.750000,24.843750,4.14531038e-01
3.750000,25.312500,4.34002412e-01
3.750000,25.781250,4.47509810e-01
3.750000,26.250000,4.51167170e-01
3.750000,26.718750,4.51954663e-01
3.750000,27.187500,4.52192955e-01
3.750000,27.656250,4.51904912e-01
3.750000,28.125000,4.52065639e-01
3.750000,28.593750,4.52828782e-01
3.750000,29.062500,4.53346461e-01
3.750000,29.531250,4.55120582e-01
3.750000,30.000000,4.56975871e-01
4.218750,0.000000,4.56779342e-01
4.218750,0.468750,4.55083837e-01
4.218750,0.937500,4.53456735e-01
4.218750,1.406250,4.52814222e-01
4.218750,1.875000,4.52220672e-01
4.218750,2.343750,4.52478343e-01
4.218750,2.812500,4.52578755e-01
4.218750,3.281250,4.52801952e-01
4.218750,3.750000,4.51803435e-01
4.218750,4.218750,4.49767064e-01
4.218750,4.687500,4.31654503e-01
