x_nm,y_nm,phi_V
25.000000,3.750000,2.18437911e-01
25.000000,5.000000,2.13934538e-01
25.000000,6.250000,2.11878700e-01
25.000000,7.500000,2.11089825e-01
25.000000,8.750000,2.11046580e-01
25.000000,10.000000,2.11590160e-01
25.000000,11.250000,2.12644015e-01
25.000000,12.500000,2.13968159e-01
25.000000,13.750000,2.15154066e-01
25.000000,15.000000,2.15605818e-01
25.000000,16.250000,2.15154066e-01
25.000000,17.500000,2.13968159e-01
25.000000,18.750000,2.12644015e-01
25.000000,20.000000,2.11590160e-01
25.000000,21.250000,2.11046580e-01
25.000000,22.500000,2.11089825e-01
25.000000,23.750000,2.11878700e-01
25.000000,25.000000,2.13934538e-01
25.000000,26.250000,2.18437911e-01
25.000000,27.500000,2.26853048e-01
25.000000,28.750000,2.38347838e-01
25.000000,30.000000,2.49461403e-01
26.250000,0.000000,3.27227336e-01
26.250000,1.250000,2.84473039e-01
26.250000,2.500000,2.42965715e-01
26.250000,3.750000,2.24366655e-01
26.250000,5.000000,2.15887108e-01
26.250000,6.250000,2.12643006e-01
26.250000,7.500000,2.11271321e-01
26.250000,8.750000,2.10820383e-01
26.250000,10.000000,2.10875604e-01
26.250000,11.250000,2.11224935e-01
26.250000,12.500000,2.11693716e-01
26.250000,13.750000,2.12084258e-01
26.250000,15.000000,2.12238905e-01
26.250000,16.250000,2.12084258e-01
26.250000,17.500000,2.11693716e-01
26.250000,18.750000,2.11224935e-01
26.250000,20.000000,2.10875604e-01
26.250000,21.250000,2.10820383e-01
26.250000,22.500000,2.11271321e-01
26.250000,23.750000,2.12643006e-01
26.250000,25.000000,2.15887108e-01
26.250000,26.250000,2.24366655e-01
26.250000,27.500000,2.42965715e-01
26.250000,28.750000,2.84473039e-01
26.250000,30.000000,3.27227336e-01
27.500000,0.000000,3.66110725e-01
27.500000,1.250000,3.47506662e-01
27.500000,2.500000,2.67361715e-01
27.500000,3.750000,2.28864655e-01
27.500000,5.000000,2.17829094e-01
27.500000,6.250000,2.13359787e-01
27.500000,7.500000,2.11489231e-01
27.500000,8.750000,2.10732032e-01
27.500000,10.000000,2.10512815e-01
27.500000,11.250000,2.10556719e-01
27.500000,12.500000,2.10703283e-01
27.500000,13.750000,2.10841665e-01
27.500000,15.000000,2.10896630e-01
27.500000,16.250000,2.10841665e-01
27.500000,17.500000,2.10703283e-01
27.500000,18.750000,2.10556719e-01
27.500000,20.000000,2.10512815e-01
27.500000,21.250000,2.10732032e-01
27.500000,22.500000,2.11489231e-01
27.500000,23.750000,2.13359787e-01
27.500000,25.000000,2.17829094e-01
27.500000,26.250000,2.28864655e-01
27.500000,27.500000,2.67361715e-01
27.500000,28.750000,3.47506662e-01
27.500000,30.000000,3.66110725e-01
28.750000,0.000000,3.71195514e-01
28.750000,1.250000,3.52067370e-01
28.750000,2.500000,2.72449633e-01
28.750000,3.750000,2.31820716e-01
28.750000,5.000000,2.19125045e-01
28.750000,6.250000,2.13879138e-01
28.750000,7.500000,2.11662092e-01
28.750000,8.750000,2.10715288e-01
28.750000,10.000000,2.10354557e-01
28.750000,11.250000,2.10266181e-01
28.750000,12.500000,2.10290527e-01
28.750000,13.750000,2.10337683e-01
28.750000,15.000000,2.10358739e-01
28.750000,16.250000,2.10337683e-01
28.750000,17.500000,2.10290527e-01
28.750000,18.750000,2.10266181e-01
28.750000,20.000000,2.10354557e-01
28.750000,21.250000,2.10715288e-01
28.750000,22.500000,2.11662092e-01
28.750000,23.750000,2.13879138e-01
28.750000,25.000000,2.19125045e-01
28.750000,26.250000,2.31820716e-01
